2018-10-14 14:28:48,345 [main] ERROR library.DicLibrary - Init dic library error :org.ansj.exception.LibraryException:  path :library/default.dic file:D:\javaworkspace\NewsCertify-Common\library\default.dic not found or can not to read, path: library/default.dic
2018-10-14 14:31:29,323 [main] WARN  util.MyStaticValue - not find library.properties in classpath use it by default !
2018-10-14 14:31:29,327 [main] ERROR library.AmbiguityLibrary - Init ambiguity library error :org.ansj.exception.LibraryException:  path :library/ambiguity.dic file:D:\javaworkspace\NewsCertify-Common\library\ambiguity.dic not found or can not to read, path: library/ambiguity.dic
2018-10-14 14:31:29,327 [main] ERROR library.DicLibrary - Init dic library error :org.ansj.exception.LibraryException:  path :library/default.dic file:D:\javaworkspace\NewsCertify-Common\library\default.dic not found or can not to read, path: library/default.dic
2018-10-14 14:33:43,201 [main] WARN  util.MyStaticValue - not find library.properties in classpath use it by default !
2018-10-14 14:33:43,205 [main] ERROR library.AmbiguityLibrary - Init ambiguity library error :org.ansj.exception.LibraryException:  path :library/ambiguity.dic file:D:\javaworkspace\NewsCertify-Common\library\ambiguity.dic not found or can not to read, path: library/ambiguity.dic
2018-10-14 14:33:43,206 [main] ERROR library.DicLibrary - Init dic library error :org.ansj.exception.LibraryException:  path :library/default.dic file:D:\javaworkspace\NewsCertify-Common\library\default.dic not found or can not to read, path: library/default.dic
2018-10-14 14:36:18,341 [main] WARN  util.MyStaticValue - not find library.properties in classpath use it by default !
2018-10-14 14:36:18,345 [main] ERROR library.AmbiguityLibrary - Init ambiguity library error :org.ansj.exception.LibraryException:  path :library/ambiguity.dic file:D:\javaworkspace\NewsCertify-Common\library\ambiguity.dic not found or can not to read, path: library/ambiguity.dic
2018-10-14 14:36:18,346 [main] ERROR library.DicLibrary - Init dic library error :org.ansj.exception.LibraryException:  path :library/default.dic file:D:\javaworkspace\NewsCertify-Common\library\default.dic not found or can not to read, path: library/default.dic
2018-10-14 14:38:59,884 [main] WARN  util.MyStaticValue - not find library.properties in classpath use it by default !
2018-10-14 14:38:59,888 [main] ERROR library.AmbiguityLibrary - Init ambiguity library error :org.ansj.exception.LibraryException:  path :library/ambiguity.dic file:D:\javaworkspace\NewsCertify-Common\library\ambiguity.dic not found or can not to read, path: library/ambiguity.dic
